Show,Review,Source
Breaking Bad,La combinación perfecta entre sufrimiento y adicción; no puedes parar de verla,Audience
Breaking Bad,"When I finished it, I felt lost and empty. This entire series did such amazing and incredible job. Beyond the extraordinary casts and their performance, the script writing itself left it marks on my mind so much that another shows fail to make me feel the same.",Audience
Breaking Bad,"""I did it for myself, I was good at it."" then that satisfied look of Heisenberg when he fell and died after touching the lab's stuff, legendary!",Audience
Breaking Bad,one of the greatest shows ever made! A masterpiece!,Audience
Breaking Bad,Looking for an amazing show with a great cast? This is it,Audience
Breaking Bad,"Television doesn't get any better than this.

Highlights: ""Say My Name"", ""Blood Money"", ""Ozymandias"", ""Granite State""",Audience
Breaking Bad,"In the time when series finales buzz around like flies, bringing nothing but disappointment and sht, this particular series stands out. I am proud to say that this show will stand the test of time. Everything that needs to be done.. Done. Finished the show 2 weeks ago and still in the mourning process, that's how much it means to me.",Audience
Breaking Bad,"""Best tv series in history""",Audience
Breaking Bad,Never have I ever been so pleased with a perfect ending to a ground-breaking TV show. To the writers of Breaking Bad: I love you. The cast delivers amazing performances all around the table and definitely will reel you back in to watch the entire show all over again.,Audience
Breaking Bad,"The last season of Breaking Bad finishes itself off with a great finale, setting the bar too high for other television shows to reach.",Audience
Breaking Bad,One of the best in the world!,Audience
Breaking Bad,Best show that I watched in my life so far. I've seen some.,Audience
Breaking Bad,What a way to conclude the best series in tv history great acting amazing writing Vince gilligan is a genius bryan cranston outstanding performance reminds us why he is one of the best actors of our time aaron paul stole my heart what an ending surely going to be missed.,Audience
Breaking Bad,"Definitely a roller  coaster, see if you can hold on.",Audience
Breaking Bad,Breaking Bad makes a case for the best TV series ever. Breathtaking.,Audience
Breaking Bad,There's no words to describe Breaking Bad. Although I liked more the 4th season.,Audience
Breaking Bad,"(Fair Warning: Spoilers Ahead if you haven't watched previous seasons!)

After a Season Four that may have been one of the greatest single seasons of television I have ever watched, this Fifth Season was clearly going to bring changes. With Gustavo (Giancarlo Esposito) out of the picture, the show was obviously going to have to turn elsewhere for dramatic conflict. Instead of searching for ""another Gus"", however, these eight episode bring the focus back to the morality of the show, and the conflict brewing inside Walter White (Bryan Cranston) himself.

When this show began, it was all about Walt and Jesse (Aaron Paul) just kind of muddling along trying to learn the meth business. Neither had grand designs, and Walt wanted to make ""just enough money"" to get out and support his family. Then, for a couple of seasons, the focus of the show shifts to the cartel and Gus, rendering the morality play to the background in favor of more character drama. With those angles now wrapped up, however, Vince Gilligan made the right decision to re-focus inward.

So, this season is truly about Walter White's internal struggle. Though in the beginning his actions were all about protecting his family, Walter now cannot let go. He is ""the best"" at something and the meth business now defines him. In fact, his family has completely crumbled beneath him, little by little. Skyler (Anna Gunn) views him truly as ""the danger"" and is practically waiting for the cancer to re-appear and kill him, while Walter Jr. (RJ Mitte) doesn't have a good relationship with anybody.

Thus, the major theme of this season is that (on multiple occasions), Walt is presented with a series of choices regarding his future involvement in the meth business. His reaction to those choices is what sets up the upcoming final eight episodes.

Of course, the season does not ENTIRELY focus on Walt. Mike Ehrmantrout (Jonathan Banks) has an amped-up role, while Hank (Dean Norris) doggedly pursues the loose ends left by Gus and even makes a startling discovery about Walt.

Overall Season Five is a solid effort in this show's tenure. Why not the full five stars? Because, at least to me, nothing could top the Walt/Gus tension of the previous two seasons. Instead, these eight episodes primarily served as kind of a conduit through which the show can reach an organic conclusion. The show was all about morality and choices in the beginning, and that is apparently how it will also end.

""Breaking Bad"" started off as a show about family, morality, and hard choices. Over its six year run, it branched out to include the grittier aspects of the drug cartels. For the final eight episodes, Vince Gilligan swings the show back to its simpler roots, once again focusing on the personal aspects of Walter White (Bryan Cranston) and his family/friends.

This is the part of the review where I would usually go into a few minor spoiler-ish details about the season. I won't do that here, though, because to do so would inherently give a few things away. Suffice it to say, though, that the ""endgame"" does start right away in the first episode of these eight.

A few comments I do have about these eight episodes (and the ending of the show in general...no spoilers):

-This show ends in a way I would have never expected. I know that sounds cliched, but it is indeed the case. It really does focus on the high drama of the characters as opposed to the cartel stuff happening in the middle seasons (which, IMHO, produced the highest drama of the show). I guess I should have expected as such from Vince Gilligan, who never gives you anything predictable.

-The reason for four stars instead of five? Personal preference, mostly. For me, this show was at its peak when it really delved deeply into the ""Gus stuff"" and the cartel drama. After that plot arc was finished, it was almost like the show has to kind of re-invent itself with just 16 episodes to go. Some of the new characters like Lydia (Laura Fraser) & Todd (Jesse Plemons) never quite caught my interest as much as some of the earlier characters.

Overall, though, this is still a pretty dynamic ending to a great show. All the major plotlines are tied-up (there are very few ""loose strings"" in this series), with major characters like Jesse (Aaron Paul), Hank (Dean Norris), and Skyler (Anna Gunn) getting some good character resolution.

Your ultimate enjoyment of the final few episodes, though, will likely be determined by how much you liked the beginning of the show. If you loved ""Breaking Bad"" right from when Walt steps out in his white underwear, you'll have nothing to complain about with this ending. If, like me, it too you a little while to get acclimated to the characters and then really found the show to blossom in the middle years, this ending might feel a tad bittersweet to you.

4.5 stars. Not quite the show's peak, but (at least for me) better than the beginning when the characters were all so strange.",Audience
Breaking Bad,"Breaking Bad.
The success of this show was foretold by its title.
We are tired of seeing things turning good, we want them to break bad.
This, mixed with an extraordinary plot, a great performance of the whole cast and a fantastic soundrack (used in a way never tried before) has led this show to an incredible level of fame.",Audience
Breaking Bad,"Conclusion ended well for a character to become a legend, after all his adventures esposive created in a context adored by the public",Audience
Breaking Bad,"La mejor serie que he visto. Todo en esta serie llega a niveles de perfección nunca antes vistos. El screenplay y las actuaciones son de las cosas que más tengo que resaltar. Todos sus personajes son llamativos e interesantes, no hay ni uno solo que esté de relleno. Bryan Cranston y Aaron Paul son el dúo perfecto y una pareja memorable para toda la historia :') Amo y amaré esta serie por siempre",Audience
Breaking Bad,What more can you say about Breaking Bad at this point? It delivered the most anti-anti hero of a Golden Age of TV riddled with such characters.,Critic
Breaking Bad,Breaking Bad delivers a final season that is as gripping and rewarding as we've come to expect. It's the show that knocks.,Critic
Breaking Bad,"I line up diligently each Sunday, like a junkie twitching for her next fix, and I and my fellow addicts bask in 44 minutes of simply amazing television.",Critic
Breaking Bad,"For five seasons Breaking Bad cooked up some the best drama on television, hands down, but unfortunately, for its final hurrah, we got an unsatisfying batch.",Critic
Breaking Bad,"This is a brilliant, incisive portrait of a familiar kind of stunted masculinity, albeit one made gothic and grotesque and frequently blackly comic.",Critic
Breaking Bad,"Taut, efficient and directed with a scalpel, Breaking Bad remains a marvel.",Critic
Breaking Bad,Breaking Bad never makes viewers feel like they are watching scripted TV characters; the characters always feel real.,Critic
Breaking Bad,"Take a bow, Vince Gilligan.",Critic
Breaking Bad,"Breaking Bad managed to be the sum of its parts, foregrounding compelling details involving the twisted nature of Walt's universe that made its reasonably tidy conclusion beside the point.",Critic
Breaking Bad,It was far and away the most tense I've ever been while watching a TV show.,Critic
Breaking Bad,Consistently great.,Critic
Breaking Bad,The second and third to last episodes of the series might be the two best in Breaking Bad history.,Critic
Breaking Bad,"Breaking Bad is essential viewing: a Molotov cocktail of poverty, science and decline.",Critic
Breaking Bad,"Such awfulness begs for punishment, and Breaking Bad has never carried itself as a show that would deny the audience such a thing.",Critic
Breaking Bad,"It is a tremendous series, terrifically written and acted, with a black sense of humor unmatched by any other.",Critic
Breaking Bad,"We all knew what was coming: it was just a matter of how we got there. In that, Breaking Bad nailed it, delivering a memorable final season and final episode that showed that people CAN change, even if it's too late.",Critic
Breaking Bad,"We can only hope the remaining seven episodes live up to everything ""Blood Money"" delivered.",Critic
Breaking Bad,"With only fifteen episodes to go before the saga closes, we'll all have answers sooner than we hope. But for now, the journey is as intoxicating as it's ever been.",Critic
Breaking Bad,"Bad is too complex a series and too brilliantly distinctive a creation to be reduced to a simple ""Crime does not pay"" motto.",Critic
Breaking Bad,"By season five, despite Breaking Bad's addictive qualities, the comedy's thinning out, and the ending of one particular episode is so shocking and distressing that it was weeks before I could bring myself to watch the next one.",Critic
Chernobyl,"Awesome show, rewatched each episode twice!",Audience
Chernobyl,"I have to give this 5 stars. This show was true to the real situation and was well thought out in how it affected the world. Moreover, it showcased how the USSR lied and what communism was like. Finally, the imagery, the way the actors truly led us and sucked you in was amazing. I love this how",Audience
Chernobyl,Incredible show. I couldn't stop watching!,Audience
Chernobyl,"small tweaks of historical facts, and the british pronunciation gets people a bit out of the atmosphere. otherwise very captivating",Audience
Chernobyl,"The recreation of the communist era it's amazing:the chaos, the unprepared state, the coverup, the architecture, the tipping of the nurse... All of this combined with majestic acting. Thought, I have mixed feelings about the last episode as it's gets away from the historical true but also I think that the final pleading was mandatory for the ending.",Audience
Chernobyl,"This series will take you back to 1986 to show you how terrifying it was. This is beyond any expectation, well-written conflict, point of views, and story. The cinematography is 10/10, hats off to each & every slowmos scenes. The skin radiation vfx is so real it will haunt you. 10/10 music from H. Guðnadóttir too (ex Joker). Simply one of the greatest. | Follow us at @uncle.review",Audience
Chernobyl,"Chernobyl tells a dark and gruesome story about the dangers of corruption from a chain of command perspective and how much unknown heroes contribute to society. We know what happens, but we don't always remember the details as we should.",Audience
